PDB_ID,Resolution,Year,Ki,Measurement,Is_Ki
2x95,1.96,2010,4.95,Ki=11.3uM,True
1o5g,1.75,2004,4.96,Ki=11uM,True
2vjx,1.85,2008,4.96,Ki=11uM,True
2w67,2.25,2009,4.96,Ki=11uM,True
3veh,2,2012,4.96,Ki=11uM,True
4jsa,1.5,2013,4.96,Ki=11uM,True
6r0v,1.6,2019,4.96,Ki=11uM,True
4e3g,1.55,2012,4.97,Ki=10.6uM,True
4in9,1.55,2013,4.97,Ki=10.7uM,True
4re2,2,2015,4.98,Ki=10.4uM,True
1c84,2.35,2000,5,Ki=9.9uM,True
1hlk,2.5,2001,5,Ki=10uM,True
1nc3,2.2,2003,5,Ki=10uM,True
1o35,1.41,2003,5,Ki=10uM,True
2oym,1.86,2007,5,Ki=10uM,True
3gbe,1.7,2009,5,Ki=10uM,True
4u6c,1.91,2015,5,Ki=9.9uM,True
5evb,1.84,2016,5,Ki=10uM,True
5evd,1.8,2016,5,Ki=10uM,True
1ppi,2.2,1995,5.01,Ki=9.7uM,True
2glp,2.42,2007,5.01,Ki=9.7uM,True
3bgc,1.8,2008,5.02,Ki=9.6uM,True
4u70,1.6,2015,5.02,Ki=9.5uM,True
1dgm,1.8,2000,5.05,Ki=8.9uM,True
1fkw,2.4,1996,5.05,Ki=9uM,True
1qxk,2.3,2003,5.05,Ki=9.0uM,True
3aau,1.8,2010,5.05,Ki=9.0uM,True
4yzu,1.41,2015,5.05,Ki=9uM,True
2v77,1.6,2008,5.06,Ki=8.7uM,True
3f68,1.75,2009,5.06,Ki=8.7uM,True
5c1w,1.7,2015,5.06,Ki=8.7uM,True
2c3l,2.35,2005,5.07,Ki=8.58uM,True
6jtc,2.39,2019,5.07,Ki=8.45uM,True
6r4k,2.13,2019,5.07,Ki=8.5uM,True
1enu,1.95,2000,5.08,Ki=8.3uM,True
1gfy,2.13,2000,5.08,Ki=8.32uM,True
2qtg,1.84,2008,5.08,Ki=8.3uM,True
6d16,1.4,2019,5.08,Ki=8.4uM,True
5fhm,1.55,2016,5.09,Ki=8.15uM,True
1od8,1.05,2003,5.1,Ki=8uM,True
1v0k,1.03,2004,5.1,Ki=8uM,True
1w7g,1.65,2006,5.1,Ki=8uM,True
2r9w,1.8,2008,5.1,Ki=8uM,True
3p4v,2,2011,5.1,Ki=8uM,True
1k4h,1.8,2002,5.11,Ki=7.7uM,True
1yp9,2.1,2006,5.11,Ki=7700nM,True
3k4d,2.39,2010,5.11,Ki=7750nM,True
2web,1.5,1998,5.12,Ki=7.6uM,True
6n95,1.8,2019,5.12,Ki=7.5uM,True
3s9e,1.6,2011,5.13,Ki=7.43uM,True
6f9u,1.9,2018,5.13,Ki=7.4uM,True
1y3x,1.7,2005,5.14,Ki=7315nM,True
2br1,2,2005,5.14,Ki=7.2uM,True
6dak,1.6,2018,5.14,Ki=7.21uM,True
1jcx,1.8,2002,5.15,Ki=7.0uM,True
1jvu,1.78,2002,5.15,Ki=7uM,True
1o0m,1.5,2003,5.15,Ki=7.1uM,True
1pb8,1.45,2003,5.15,Ki=7.02uM,True
1s38,1.81,2004,5.15,Ki=7.0uM,True
1thz,1.8,2004,5.15,Ki=7.1uM,True
2afx,1.64,2005,5.15,Ki=7.1uM,True
3ozr,1.73,2011,5.15,Ki=7022nM,True
4qrh,1.65,2015,5.15,Ki=7.0uM,True
6om8,2.45,2019,5.16,Ki=6.9uM,True
2zfp,2.25,2008,5.17,Ki=6.8uM,True
3b7j,2.4,2008,5.17,Ki=6.8uM,True
4gkm,1.67,2013,5.17,Ki=6.8uM,True
6cbf,2.3,2018,5.17,Ki=6.8uM,True
1ft7,2.2,2000,5.18,Ki=6.6uM,True
3w37,1.7,2013,5.18,Ki=6.68uM,True
4iif,2.45,2013,5.18,Ki=6.6uM,True
4u73,1.8,2015,5.18,Ki=6.6uM,True
1ocq,1.08,2003,5.19,Ki=6.5uM,True
1ogg,1.97,2004,5.19,Ki=6.4uM,True
2qdt,2,2007,5.19,Ki=6.5uM,True
3uu1,1.82,2012,5.2,Ki=6.3uM,True
1o2r,1.45,2003,5.21,Ki=6.1uM,True
4cwo,2.31,2014,5.21,Ki=6.1uM,True
4few,1.98,2012,5.21,Ki=6.2uM,True
4m0r,1.96,2014,5.21,Ki=6.2uM,True
1bq4,2.5,1998,5.22,Ki=6uM,True
1j17,2,2002,5.22,Ki=6.05uM,True
1o5c,1.63,2004,5.22,Ki=6.0uM,True
1w4o,1.6,2005,5.22,Ki=6uM,True
2hxm,1.3,2006,5.22,Ki=6uM,True
2wzm,1.64,2010,5.22,Ki=6.0uM,True
2zxd,2.15,2009,5.22,Ki=6.0uM,True
3dne,2,2009,5.22,Ki=6uM,True
3iof,1.44,2010,5.22,Ki=6uM,True
4lrr,2.41,2013,5.22,Ki=6uM,True
4u71,1.8,2015,5.22,Ki=6.0uM,True
5ev8,2.3,2016,5.22,Ki=6uM,True
1ndw,2,2003,5.23,Ki=5900nM,True
2q38,1.95,2007,5.23,Ki=5950nM,True
1fh7,1.82,2000,5.24,Ki=5.8uM,True
1s89,2.22,2004,5.24,Ki=5.8uM,True
2jfz,1.86,2007,5.24,Ki=5.8uM,True
3pb8,1.13,2011,5.24,Ki=5.748uM,True
1w4q,1.68,2005,5.26,Ki=5.5uM,True
2x7u,2.12,2010,5.27,Ki=5340nM,True
4jfs,2,2013,5.27,Ki=5.4uM,True
1f5l,2.1,2001,5.28,Ki=5.3uM,True
3o5x,2,2010,5.28,Ki=5.2uM,True
4j46,1.42,2013,5.28,Ki=5.24uM,True
1c88,1.8,2000,5.29,Ki=5.1uM,True
1a69,2.1,1998,5.3,Ki=5uM,True
1o0f,1.5,2003,5.3,Ki=5uM,True
2vk6,1.5,2008,5.3,Ki=5uM,True
3pgl,2.35,2011,5.3,Ki=5uM,True
6d2o,1.9,2018,5.3,Ki=5uM,True
6r1w,1.35,2019,5.3,Ki=5.0uM,True
4u1b,1.89,2015,5.31,Ki=4.9uM,True
5eij,1.99,2016,5.31,Ki=4860nM,True
1y20,1.4,2005,5.32,Ki=4.8uM,True
5g1z,1.5,2017,5.32,Ki=4.74uM,True
3ozs,1.44,2011,5.33,Ki=4645nM,True
3q1x,1.59,2011,5.33,Ki=4.7uM,True
1hee,1.75,2001,5.34,Ki=4.6uM,True
1zgi,2.2,2005,5.34,Ki=4.6uM,True
3hkq,1.7,2009,5.34,Ki=4.55uM,True
3k4q,2.2,2010,5.34,Ki=4.6uM,True
1ql9,2.3,2000,5.35,Ki=4.45uM,True
2gkl,1.86,2007,5.35,Ki=4.5uM,True
3hkn,1.8,2009,5.35,Ki=4.51uM,True
6ep4,2.3,2017,5.35,Ki=4.5uM,True
6of5,2.3,2019,5.35,Ki=4.5uM,True
3bv9,1.8,2008,5.36,Ki=4.4uM,True
3ldq,1.9,2011,5.36,Ki=4.32uM,True
1gpk,2.1,2002,5.37,Ki=4.3uM,True
1sgu,1.9,2004,5.37,Ki=4235nM,True
3qt6,2.05,2011,5.37,Ki=4.3uM,True
1g3e,1.8,2001,5.38,Ki=4.2uM,True
1qbv,1.8,1999,5.39,Ki=4100nM,True
3hkt,2.36,2009,5.39,Ki=4.1uM,True
3m1k,1.35,2010,5.39,Ki=4.1uM,True
1f8b,1.8,2001,5.4,Ki=4.0uM,True
1mmr,2.4,1996,5.4,Ki=4.0uM,True
1trd,2.5,1993,5.4,Ki=4uM,True
2i80,2.19,2006,5.4,Ki=4uM,True
2qg2,1.8,2008,5.4,Ki=4.0uM,True
4ij1,1.79,2013,5.4,Ki=4uM,True
6ny0,1.4,2019,5.4,Ki=4.0uM,True
6r1d,1.1,2019,5.4,Ki=4uM,True
2j47,1.98,2006,5.41,Ki=3.9uM,True
4u6z,1.8,2015,5.41,Ki=3.9uM,True
4uma,1.76,2014,5.41,Ki=3.9uM,True
4fev,1.89,2012,5.42,Ki=3.8uM,True
1syi,2.1,2005,5.44,Ki=3590nM,True
2q6f,2,2008,5.44,Ki=3.6uM,True
2wr8,1.77,2009,5.44,Ki=3.6uM,True
4dju,1.8,2012,5.44,Ki=3.6uM,True
5tp0,1.25,2017,5.44,Ki=3.66uM,True
3mi3,2.38,2010,5.45,Ki=3.56uM,True
1q65,2.1,2004,5.46,Ki=3.5uM,True
6nxz,1.75,2019,5.46,Ki=3.5uM,True
1g7f,1.8,2001,5.47,Ki=3.4uM,True
1gi1,1.42,2002,5.47,Ki=3.4uM,True
5nn5,2,2017,5.47,Ki=3.4uM,True
6c7w,1.28,2018,5.47,Ki=3410nM,True
6dd0,1.5,2019,5.48,Ki=3.3uM,True
1pyn,2.2,2003,5.49,Ki=3.2uM,True
2h4k,2.3,2006,5.49,Ki=3.2uM,True
2o0u,2.1,2007,5.49,Ki=3.2uM,True
2uy5,1.6,2007,5.49,Ki=3.2uM,True
3tza,1.9,2011,5.5,Ki=3.15uM,True
1kc7,2.2,2002,5.52,Ki=3uM,True
1ydr,2.2,1997,5.52,Ki=3.0uM,True
2cht,2.2,1994,5.52,Ki=3uM,True
2ydt,1.6,2011,5.52,Ki=3.0uM,True
3iog,1.41,2010,5.52,Ki=3uM,True
4en4,2.15,2012,5.52,Ki=3uM,True
1bjv,1.8,1998,5.54,Ki=2.9uM,True
1g3d,1.8,2001,5.55,Ki=2.8uM,True
2iuz,1.95,2006,5.55,Ki=2.8uM,True
3uzj,1.69,2012,5.55,Ki=2.82uM,True
4pqa,1.78,2014,5.55,Ki=2.8uM,True
6ouv,1.94,2019,5.55,Ki=2.8uM,True
6mxc,1.99,2019,5.56,Ki=2.73uM,True
1jak,1.75,2001,5.57,Ki=2.7uM,True
3uxl,2.2,2012,5.57,Ki=2.7uM,True
3vtr,2.5,2013,5.57,Ki=2.714uM,True
3su5,1.55,2012,5.58,Ki=2635nM,True
1mfi,1.8,1999,5.59,Ki=2.6uM,True
3sha,1.52,2012,5.59,Ki=2.6uM,True
4cwn,1.8,2014,5.59,Ki=2.6uM,True
6fnr,1.83,2018,5.59,Ki=2.6uM,True
1vfn,2.15,1997,5.6,Ki=2.5uM,True
2wca,2.3,2009,5.6,Ki=2.5uM,True
3bl1,2.1,2008,5.6,Ki=2.52uM,True
1ejn,1.8,2000,5.62,Ki=2.4uM,True
4iid,2.3,2013,5.62,Ki=2.4uM,True
4j48,2.1,2013,5.62,Ki=2.41uM,True
5wgp,1.53,2018,5.62,Ki=2400nM,True
6h29,1.46,2018,5.62,Ki=2.4uM,True
3rf5,2.1,2011,5.63,Ki=2.37uM,True
1f57,1.75,2000,5.64,Ki=2.3uM,True
1y3v,1.6,2005,5.64,Ki=2300nM,True
1z9g,1.7,2005,5.64,Ki=2.3uM,True
2ojg,2,2007,5.64,Ki=2.3uM,True
3n86,1.9,2011,5.64,Ki=2.3uM,True
1n5r,2.25,2003,5.66,Ki=2.2uM,True
1nhu,2,2003,5.66,Ki=2.2uM,True
2aod,1.4,2006,5.66,Ki=2.17uM,True
2erz,2.2,2005,5.66,Ki=2.2uM,True
2x97,1.85,2010,5.66,Ki=2200nM,True
5c28,1.56,2015,5.66,Ki=2.2uM,True
6cjv,1.55,2018,5.66,Ki=2200nM,True
6jaw,1.98,2019,5.66,Ki=2.18uM,True
2h15,1.9,2007,5.67,Ki=2135nM,True
2pqz,1.55,2008,5.67,Ki=2.15uM,True
2qwf,1.9,1998,5.67,Ki=2.160uM,True
6f28,2.4,2018,5.67,Ki=2.15uM,True
1gnn,2.3,1996,5.68,Ki=2100nM,True
2q8z,1.8,2008,5.68,Ki=2.1uM,True
3oil,1.5,2011,5.68,Ki=2100nM,True
4q9y,1.55,2015,5.68,Ki=2.1uM,True
1egh,2,2000,5.7,Ki=2uM,True
1g98,1.9,2001,5.7,Ki=2uM,True
1jsv,1.96,2001,5.7,Ki=2uM,True
1n1m,2.5,2002,5.7,Ki=2uM,True
2a14,1.7,2005,5.7,Ki=2.0uM,True
2avm,1.1,2006,5.7,Ki=2.0uM,True
2f2h,1.95,2006,5.7,Ki=2uM,True
2ya6,2,2011,5.7,Ki=2uM,True
3acx,1.31,2010,5.7,Ki=2uM,True
3d4y,1.52,2008,5.7,Ki=2uM,True
3kku,1.28,2010,5.7,Ki=2uM,True
4bs0,1.09,2013,5.7,Ki=2uM,True
4f39,1.83,2012,5.7,Ki=1980nM,True
4j28,1.73,2013,5.7,Ki=2.0uM,True
4l2l,1.65,2014,5.7,Ki=0.002mM,True
6jay,1.5,2019,5.7,Ki=1.99uM,True
2uz9,2.3,2007,5.71,Ki=1.96uM,True
6q60,1.55,2019,5.71,Ki=1.97uM,True
2qg0,1.85,2008,5.72,Ki=1.9uM,True
3jvr,1.76,2009,5.72,Ki=1.89uM,True
3shc,1.9,2012,5.72,Ki=1.9uM,True
4zw6,1.9,2016,5.72,Ki=1.9uM,True
3bqc,1.5,2008,5.73,Ki=1.85uM,True
3m3z,2.1,2011,5.73,Ki=1.85uM,True
4j44,1.3,2013,5.73,Ki=1.87uM,True
1o33,1.46,2003,5.74,Ki=1.8uM,True
1o5e,1.75,2004,5.74,Ki=1.8uM,True
1zdp,1.7,2005,5.74,Ki=1.8uM,True
3pb7,1.4,2011,5.74,Ki=1.817uM,True
3wz7,1.9,2015,5.74,Ki=1.8uM,True
4o2b,2.3,2014,5.74,Ki=1.8uM,True
2ya8,1.75,2011,5.75,Ki=1.77uM,True
6e6m,1.55,2019,5.75,Ki=1786.5nM,True
4a95,1.55,2012,5.76,Ki=1.73uM,True
4nwc,2.01,2014,5.76,Ki=1.74uM,True
6jav,1.44,2019,5.76,Ki=1.72uM,True
1ur9,1.8,2004,5.77,Ki=1.7uM,True
4j45,1.48,2013,5.77,Ki=1.7uM,True
5nw7,1.85,2018,5.77,Ki=1.7uM,True
6eij,2.42,2018,5.77,Ki=1680nM,True
2y5h,1.33,2011,5.79,Ki=1620nM,True
1kpm,1.8,2002,5.8,Ki=1.59uM,True
1ppm,1.7,1993,5.8,Ki=1600nM,True
4g8v,1.7,2012,5.8,Ki=1.6uM,True
4rhx,2.03,2015,5.8,Ki=1.6uM,True
1hdq,2.3,2001,5.82,Ki=1.5uM,True
1kav,2.35,2002,5.82,Ki=1.5uM,True
3b7i,1.75,2007,5.82,Ki=1.5uM,True
3gss,1.9,1997,5.82,Ki=1.5uM,True
3qqs,1.97,2012,5.82,Ki=1.5uM,True
3wz8,1.45,2015,5.82,Ki=1.5uM,True
4dld,2,2012,5.82,Ki=1.5uM,True
4e9u,2.1,2012,5.82,Ki=1.5uM,True
4p5d,2.11,2014,5.82,Ki=1.5uM,True
4z84,1.55,2015,5.82,Ki=1500nM,True
5d2r,1.9,2016,5.82,Ki=1.5uM,True
4do5,1.51,2012,5.83,Ki=1.48uM,True
1k4g,1.7,2002,5.85,Ki=1.4uM,True
1o2w,1.38,2003,5.85,Ki=1.4uM,True
1q54,1.93,2003,5.85,Ki=1.4uM,True
1qbn,1.8,2000,5.85,Ki=1400nM,True
2pu1,1.8,2007,5.85,Ki=1.4uM,True
2r3t,1.8,2008,5.85,Ki=1.4uM,True
2z94,1.78,2007,5.85,Ki=1.4uM,True
3ehy,1.9,2009,5.85,Ki=1.4uM,True
4b6r,2,2012,5.85,Ki=1420nM,True
5ndf,2.3,2017,5.85,Ki=1.4uM,True
5oq8,2,2017,5.85,Ki=1.41uM,True
6d18,1.35,2019,5.85,Ki=1.4uM,True
6pvv,1.65,2019,5.85,Ki=1.4uM,True
5za7,1.7,2018,5.87,Ki=1356nM,True
1e1x,1.85,2001,5.89,Ki=1.3uM,True
2brm,2.2,2005,5.89,Ki=1.3uM,True
2tmn,1.6,1989,5.89,Ki=1.3uM,True
3qgw,2.1,2011,5.89,Ki=1.3uM,True
4de0,1.12,2012,5.89,Ki=1.3uM,True
5t8p,2.32,2017,5.89,Ki=1.28uM,True
6dpx,1.9,2018,5.89,Ki=1.3uM,True
1v2n,1.8,2004,5.9,Ki=1.25uM,True
3old,2,2011,5.9,Ki=1254.9nM,True
5fhn,1.6,2016,5.9,Ki=1.27uM,True
3ebp,2,2009,5.91,Ki=1.24uM,True
1a4w,1.8,1998,5.92,Ki=1.2uM,True
1jao,2.4,1996,5.92,Ki=1.2uM,True
1ndv,2.3,2003,5.92,Ki=1200nM,True
1o0h,1.2,2003,5.92,Ki=1.2uM,True
1pph,1.9,1994,5.92,Ki=1.2uM,True
1qf2,2.06,1999,5.92,Ki=1200nM,True
1yds,2.2,1997,5.92,Ki=1.2uM,True
3r4m,1.7,2011,5.92,Ki=1.2uM,True
3zv7,2.26,2012,5.92,Ki=1.2uM,True
4kyh,2.5,2013,5.92,Ki=1.2uM,True
5owl,2.23,2018,5.92,Ki=1.2uM,True
1fv0,1.7,2002,5.93,Ki=1.18uM,True
6ej3,1.94,2018,5.93,Ki=1179nM,True
3lmk,2.44,2010,5.94,Ki=1.16uM,True
5y13,1.75,2018,5.94,Ki=1.16uM,True
5a6k,2.1,2015,5.95,Ki=1130nM,True
6fz4,1.85,2019,5.95,Ki=1.12uM,True
1d6w,2,2000,5.96,Ki=1100nM,True
1nl9,2.4,2003,5.96,Ki=1.1uM,True
1o36,1.7,2003,5.96,Ki=1.1uM,True
3wz6,1.4,2015,5.96,Ki=1.1uM,True
4de1,1.26,2012,5.96,Ki=1.1uM,True
4msc,2.47,2014,5.96,Ki=1.1uM,True
4zw8,2,2016,5.96,Ki=1.1uM,True
5od1,1.34,2018,5.96,Ki=1.1uM,True
1uwt,1.95,2004,5.97,Ki=1.08uM,True
1uwu,1.95,2004,5.98,Ki=1.04uM,True
1c5s,1.36,2000,6,Ki=1.0uM,True
1f0t,1.8,2000,6,Ki=1000nM,True
1jq8,2,2002,6,Ki=1.01uM,True
1ssq,1.85,2004,6,Ki=1uM,True
2bvd,1.6,2005,6,Ki=1uM,True
2r43,1.58,2008,6,Ki=1uM,True
2vqt,2.1,2008,6,Ki=1.0uM,True
3ddg,1.74,2008,6,Ki=1uM,True
3l4w,2,2010,6,Ki=1.0uM,True
3ucj,1.85,2011,6,Ki=1uM,True
4kwg,2.1,2014,6,Ki=1.0uM,True
6f90,2.4,2018,6,Ki=1.0uM,True
1eb2,2,2002,6.01,Ki=980nM,True
2vl4,1.9,2008,6.01,Ki=975nM,True
4b6s,1.9,2012,6.01,Ki=970nM,True
5uez,1.51,2017,6.01,Ki=970nM,True
3f3c,2.1,2008,6.02,Ki=950nM,True
3su6,1.1,2012,6.02,Ki=958nM,True
3zq9,1.86,2011,6.02,Ki=0.95uM,True
5er1,2,1991,6.02,Ki=960nM,True
1os0,2.1,2003,6.03,Ki=0.93uM,True
1sh9,2.5,2004,6.03,Ki=932nM,True
4f9u,1.8,2012,6.03,Ki=944nM,True
1xbo,2.5,2004,6.04,Ki=0.92uM,True
4nuc,1.4,2014,6.04,Ki=0.91uM,True
6g3v,1.69,2018,6.04,Ki=922.4nM,True
6ic2,1.15,2019,6.04,Ki=917.4nM,True
1eoc,2.25,2000,6.05,Ki=0.9uM,True
3bgb,1.9,2008,6.05,Ki=0.9uM,True
3iss,2.5,2009,6.05,Ki=0.9uM,True
3pcf,2.15,1998,6.05,Ki=0.9uM,True
1qb6,1.8,2000,6.06,Ki=870nM,True
2gst,1.8,1993,6.07,Ki=0.85uM,True
2w5g,1.7,2009,6.07,Ki=860nM,True
3c89,1.58,2008,6.07,Ki=845nM,True
3fvl,1.85,2010,6.07,Ki=0.86uM,True
3owj,1.85,2010,6.07,Ki=0.86uM,True
6uh0,1.31,2019,6.07,Ki=853.1nM,True
1nhz,2.3,2003,6.08,Ki=0.84uM,True
2wc3,2,2009,6.08,Ki=0.83uM,True
3bkk,2.17,2008,6.08,Ki=0.83uM,True
1o2n,1.5,2003,6.09,Ki=0.81uM,True
3p8z,1.7,2010,6.09,Ki=0.82uM,True
6eed,1.5,2018,6.09,Ki=812nM,True
1azm,2,1994,6.1,Ki=0.8uM,True
1m2q,1.79,2003,6.1,Ki=0.80uM,True
2ewb,1.85,2006,6.1,Ki=0.8uM,True
2flr,2.35,2007,6.1,Ki=0.8uM,True
2wed,1.5,1998,6.1,Ki=0.8uM,True
3c8b,1.47,2008,6.1,Ki=786nM,True
3cke,2.4,2008,6.1,Ki=0.8uM,True
4l19,1.66,2014,6.1,Ki=0.8uM,True
4r5t,1.98,2014,6.1,Ki=0.8uM,True
5efh,2.16,2016,6.1,Ki=800nM,True
1g32,1.9,2001,6.11,Ki=780nM,True
1m2p,2,2003,6.11,Ki=0.78uM,True
1o2z,1.65,2003,6.11,Ki=0.78uM,True
2qnq,2.3,2008,6.11,Ki=0.77uM,True
6b4d,1.2,2018,6.11,Ki=0.78uM,True
1nc1,2,2003,6.12,Ki=0.75uM,True
1x8r,1.5,2005,6.12,Ki=750nM,True
2p2a,2.26,2007,6.12,Ki=0.75uM,True
3qfy,2.3,2011,6.12,Ki=0.75uM,True
6ugn,1.41,2019,6.12,Ki=763.5nM,True
2fqt,1.79,2006,6.14,Ki=0.72uM,True
4zx1,1.5,2015,6.14,Ki=725nM,True
1u0g,1.7,2004,6.15,Ki=0.7uM,True
1zs0,1.56,2006,6.15,Ki=700nM,True
5dit,2.25,2015,6.15,Ki=0.7uM,True
1ppc,1.8,1994,6.16,Ki=0.69uM,True
4o04,1.82,2014,6.16,Ki=0.69uM,True
6ugp,1.31,2019,6.16,Ki=685.5nM,True
1k1o,2,2001,6.17,Ki=675nM,True
1ndy,2,2003,6.17,Ki=680nM,True
3bkl,2.18,2008,6.17,Ki=0.679uM,True
3hk1,1.7,2009,6.17,Ki=0.67uM,True
4b9k,2,2012,6.17,Ki=0.67uM,True
1xhy,1.85,2005,6.18,Ki=662nM,True
3c8a,1.52,2008,6.18,Ki=660nM,True
1iy7,2,2003,6.19,Ki=0.64uM,True
1v2k,2,2004,6.19,Ki=0.65uM,True
4wrb,1.81,2015,6.19,Ki=0.65uM,True
1owe,1.6,2003,6.2,Ki=631nM,True
1sqt,1.9,2004,6.2,Ki=0.63uM,True
2aj8,2.11,2006,6.2,Ki=638nM,True
4ufi,2.4,2015,6.2,Ki=630nM,True
3sug,1.8,2012,6.21,Ki=620nM,True
4ymb,1.93,2015,6.21,Ki=0.62uM,True
1l8g,2.5,2002,6.22,Ki=0.6uM,True
2xda,1.85,2010,6.22,Ki=0.6uM,True
3lpp,2.15,2010,6.22,Ki=0.60uM,True
3pd9,2.1,2010,6.22,Ki=600nM,True
4m0e,2,2013,6.22,Ki=0.6uM,True
4mdn,1.91,2013,6.22,Ki=0.6uM,True
6eiz,1.85,2018,6.22,Ki=0.6uM,True
5y12,1.75,2018,6.23,Ki=0.59uM,True
3vh9,1.29,2012,6.24,Ki=0.58uM,True
6eir,2.4,2018,6.24,Ki=575nM,True
6hh3,1.82,2018,6.24,Ki=0.58uM,True
1gnm,2.3,1996,6.25,Ki=560nM,True
2o4z,2.1,2007,6.25,Ki=566nM,True
3rf4,1.8,2011,6.25,Ki=0.56uM,True
4bcp,2.26,2013,6.25,Ki=568nM,True
1wcq,2.1,2005,6.26,Ki=0.55uM,True
3bgz,2.4,2007,6.26,Ki=0.55uM,True
3su4,2.25,2012,6.26,Ki=554nM,True
1pbq,1.9,2003,6.27,Ki=0.54uM,True
2j94,2.1,2007,6.27,Ki=534nM,True
3bfu,1.95,2008,6.27,Ki=531nM,True
6ugr,1.31,2019,6.27,Ki=533.6nM,True
1afl,1.7,1998,6.28,Ki=520nM,True
1atl,1.8,1995,6.28,Ki=0.52uM,True
1w3l,1.04,2004,6.28,Ki=0.52uM,True
2aog,1.1,2006,6.28,Ki=0.53uM,True
4djw,1.9,2012,6.28,Ki=0.53uM,True
4q99,1.5,2015,6.28,Ki=0.52uM,True
5ix0,1.72,2016,6.28,Ki=0.519uM,True
2xyt,2.05,2011,6.29,Ki=509.2nM,True
3h8b,1.8,2009,6.29,Ki=0.511uM,True
5za8,1.9,2018,6.29,Ki=508nM,True
6o5a,1.67,2019,6.29,Ki=514nM,True
1wm1,2.1,2004,6.3,Ki=0.5uM,True
3t70,1.8,2012,6.3,Ki=0.5uM,True
4eor,2.2,2013,6.3,Ki=500nM,True
5dhu,2.33,2016,6.3,Ki=0.5uM,True
6qgg,1.5,2019,6.3,Ki=0.5uM,True
3q44,1.8,2011,6.31,Ki=490nM,True
3u93,1.88,2012,6.31,Ki=494nM,True
4cpy,1.8,2014,6.31,Ki=491.35nM,True
3ebh,1.65,2009,6.32,Ki=478.2nM,True
6pvw,1.6,2019,6.32,Ki=0.48uM,True
6rot,1.34,2019,6.32,Ki=483.63nM,True
6upj,2.34,1997,6.32,Ki=480nM,True
2qbr,2.3,2008,6.33,Ki=0.47uM,True
1bdq,2.5,1998,6.34,Ki=0.46uM,True
4z0k,1.41,2015,6.34,Ki=0.462uM,True
1cbx,2,1994,6.35,Ki=0.45uM,True
1gjc,1.73,2002,6.35,Ki=0.45uM,True
3ckp,2.3,2008,6.35,Ki=0.449uM,True
3ctt,2.1,2009,6.35,Ki=0.45uM,True
3rt8,2.43,2011,6.35,Ki=451nM,True
1c5q,1.43,2000,6.36,Ki=0.44uM,True
1ela,2,1994,6.36,Ki=0.44uM,True
1o2o,1.63,2003,6.36,Ki=0.44uM,True
3oku,1.45,2011,6.36,Ki=440nM,True
1hbv,2.3,1995,6.37,Ki=430nM,True
5nya,1.2,2018,6.38,Ki=415.6nM,True
6equ,1.65,2017,6.38,Ki=419nM,True
6hoq,1.55,2019,6.39,Ki=0.41uM,True
10gs,2.2,1998,6.4,Ki=0.4uM,True
1igb,2.3,1996,6.4,Ki=0.4uM,True
1yvm,1.6,2005,6.4,Ki=0.4uM,True
2y8c,2.1,2012,6.4,Ki=0.4uM,True
3kmc,1.8,2009,6.4,Ki=400nM,True
4mss,1.8,2013,6.4,Ki=0.4uM,True
5hz8,1.12,2016,6.4,Ki=0.4uM,True
5l8y,2.14,2018,6.4,Ki=398nM,True
6f92,1.9,2018,6.4,Ki=0.4uM,True
1syh,1.8,2005,6.41,Ki=393nM,True
2qnp,1.41,2008,6.41,Ki=0.39uM,True
2xxx,2.1,2011,6.41,Ki=390nM,True
3k5x,1.4,2010,6.41,Ki=390nM,True
3r17,1.7,2011,6.41,Ki=390nM,True
1o5a,1.68,2004,6.42,Ki=0.38uM,True
4ufh,2.16,2015,6.42,Ki=380nM,True
6eiq,2.3,2018,6.42,Ki=383nM,True
1fh9,1.72,2000,6.43,Ki=0.37uM,True
2b07,2.1,2005,6.43,Ki=0.37uM,True
2fqo,1.87,2006,6.43,Ki=0.37uM,True
6eeo,1.72,2018,6.43,Ki=0.37uM,True
2jh5,2.5,2007,6.44,Ki=367nM,True
2pvm,2,2008,6.44,Ki=0.36uM,True
3pfp,2.35,2011,6.44,Ki=360nM,True
4da5,2.4,2013,6.44,Ki=0.36uM,True
4ea2,2.05,2012,6.44,Ki=0.36uM,True
5ny1,1.1,2018,6.44,Ki=366.7nM,True
5w44,2.1,2018,6.44,Ki=0.36uM,True
3qw5,1.6,2012,6.45,Ki=358nM,True
4kwo,1.32,2014,6.45,Ki=353nM,True
1m2r,1.7,2003,6.46,Ki=0.35uM,True
1r5y,1.2,2004,6.46,Ki=0.35uM,True
1ro6,2,2004,6.46,Ki=350nM,True
2xd9,1.95,2010,6.46,Ki=0.35uM,True
3pd8,2.48,2010,6.46,Ki=348nM,True
5efj,1.73,2016,6.46,Ki=350nM,True
5iwg,1.66,2016,6.46,Ki=0.346uM,True
1j01,2,2002,6.47,Ki=0.34uM,True
3cm2,2.5,2008,6.47,Ki=340nM,True
3tfp,2,2012,6.47,Ki=0.34uM,True
4mhy,1.38,2014,6.47,Ki=0.342uM,True
6b4l,2.25,2017,6.47,Ki=0.34uM,True
1f4g,1.75,2000,6.48,Ki=330nM,True
1gpn,2.35,2002,6.48,Ki=0.334uM,True
3gsm,2.4,2009,6.48,Ki=0.33uM,True
