PDB_ID,Resolution,Year,pKi_or_pKd,Measurement,Is_Ki
4aa2,1.99,2012,3.97,Ki=107uM,True
3b3c,1.46,2007,3.98,Ki=105uM,True
4k5o,1.90,2013,3.98,Ki=104uM,True
1rpf,2.20,1994,3.99,Ki=103uM,True
2g8r,1.70,2006,3.99,Ki=103uM,True
1e5j,1.85,2001,4.00,Ki=100uM,True
1gfz,2.30,2000,4.00,Ki=0.1mM,True
1kqb,1.80,2002,4.00,Ki=0.1mM,True
1nu3,1.75,2003,4.00,Ki=100uM,True
1tni,1.90,1994,4.00,Ki=0.10mM,True
1wc1,1.93,2004,4.00,Ki=0.1mM,True
1wc6,2.51,2004,4.00,Ki=0.1mM,True
2ot1,2.05,2007,4.00,Ki=0.1mM,True
2qrl,1.60,2007,4.00,Ki=100uM,True
3vd9,2.05,2012,4.00,Ki=0.10mM,True
4ayw,3.30,2012,4.00,Ki=0.1mM,True
4p6c,1.86,2015,4.00,Ki=100uM,True
4umb,2.17,2014,4.00,Ki=99uM,True
5wcm,1.20,2017,4.00,Ki=100uM,True
1c5z,1.85,2000,4.01,Ki=97uM,True
1v2w,1.75,2004,4.01,Ki=97.79uM,True
2xz5,2.80,2010,4.01,Ki=98.3uM,True
5tg5,1.75,2017,4.01,Ki=97.3uM,True
2wvz,2.40,2009,4.02,Ki=96uM,True
5thn,1.33,2017,4.02,Ki=96uM,True
5vsj,2.46,2017,4.02,Ki=95uM,True
2q8m,2.05,2007,4.03,Ki=94uM,True
2qrm,1.90,2008,4.03,Ki=92.5uM,True
2x96,1.85,2010,4.03,Ki=94uM,True
4msn,2.30,2014,4.03,Ki=94uM,True
5nzf,1.75,2018,4.03,Ki=94000nM,True
1hi5,1.80,2001,4.04,Ki=92uM,True
2c02,2.00,2006,4.04,Ki=92uM,True
4ps0,1.63,2015,4.04,Ki=92000nM,True
1pwy,2.80,2004,4.05,Ki=90uM,True
1tuf,2.40,2004,4.05,Ki=89uM,True
2rk7,1.90,2008,4.05,Ki=89uM,True
2w66,2.27,2009,4.05,Ki=89uM,True
3fjz,1.70,2009,4.05,Ki=90uM,True
8a3h,0.97,2000,4.06,Ki=88uM,True
1gj4,1.81,2002,4.07,Ki=85uM,True
1hyo,1.30,2001,4.07,Ki=84.8uM,True
2v2v,2.40,2007,4.07,Ki=85.8uM,True
4jok,1.09,2014,4.07,Ki=85.3uM,True
6dai,1.63,2018,4.07,Ki=85.2uM,True
1n2v,2.10,2003,4.08,Ki=83uM,True
1yci,2.70,2005,4.08,Ki=83uM,True
2d06,2.30,2005,4.08,Ki=83.2uM,True
2rke,1.80,2008,4.08,Ki=82.5uM,True
2z1w,1.63,2007,4.08,Ki=83uM,True
3kwa,2.00,2010,4.08,Ki=84uM,True
1ai7,2.50,1997,4.09,Ki=0.082mM,True
1o0n,1.50,2003,4.09,Ki=82uM,True
3g2n,2.10,2010,4.09,Ki=81uM,True
4b9z,2.00,2012,4.09,Ki=81.4uM,True
6d1i,1.10,2019,4.09,Ki=81uM,True
1c5t,1.37,2000,4.10,Ki=80uM,True
2bvs,1.40,2006,4.10,Ki=80uM,True
4cr9,1.70,2015,4.10,Ki=80uM,True
6dpy,1.91,2018,4.10,Ki=80uM,True
2exm,1.80,2005,4.11,Ki=78uM,True
3d6o,1.58,2009,4.11,Ki=77uM,True
5kam,2.48,2016,4.11,Ki=77.3uM,True
1bsk,3.00,2000,4.12,Ki=76uM,True
1e55,2.00,2000,4.12,Ki=76uM,True
3mkn,2.00,2010,4.12,Ki=76uM,True
4aa1,1.99,2012,4.12,Ki=76uM,True
4de2,1.40,2012,4.12,Ki=76.0uM,True
4kxb,2.40,2013,4.12,Ki=75uM,True
4mi3,2.15,2014,4.12,Ki=75.29uM,True
1v2q,2.30,2004,4.13,Ki=73.62uM,True
3ozt,1.48,2011,4.13,Ki=74.9uM,True
3qto,1.52,2012,4.13,Ki=74.8uM,True
4ovf,2.05,2014,4.13,Ki=74uM,True
4yc0,1.50,2015,4.13,Ki=74uM,True
3sna,3.05,2011,4.14,Ki=72.73uM,True
3tvx,2.84,2012,4.14,Ki=72uM,True
1m2x,1.50,2003,4.15,Ki=70uM,True
1q91,1.60,2004,4.15,Ki=70uM,True
2toh,2.30,1999,4.15,Ki=70uM,True
2v2q,2.30,2007,4.15,Ki=71.2uM,True
2xg9,1.80,2010,4.15,Ki=70uM,True
3a9i,1.80,2009,4.15,Ki=70.7uM,True
3axk,1.90,2012,4.15,Ki=70uM,True
3d51,1.43,2008,4.15,Ki=70uM,True
3sur,1.90,2012,4.15,Ki=70uM,True
3sus,1.80,2012,4.15,Ki=71uM,True
4cr5,2.00,2015,4.15,Ki=70uM,True
4kz4,1.42,2014,4.15,Ki=0.07mM,True
3d3x,2.25,2008,4.16,Ki=69uM,True
3si3,1.55,2012,4.16,Ki=69.3uM,True
1mns,2.00,1993,4.17,Ki=67uM,True
1v2s,1.72,2004,4.17,Ki=68uM,True
4jof,1.20,2014,4.17,Ki=68uM,True
4oma,1.60,2014,4.17,Ki=68uM,True
5wa1,1.87,2018,4.17,Ki=67uM,True
2qfu,1.60,2007,4.18,Ki=66uM,True
3q2j,2.15,2011,4.18,Ki=66.1uM,True
5m1z,2.00,2016,4.18,Ki=66uM,True
1hi3,1.80,2001,4.19,Ki=64uM,True
3b3w,1.75,2007,4.19,Ki=65uM,True
3f3a,2.00,2008,4.19,Ki=64.8uM,True
3sv2,1.30,2012,4.19,Ki=64.0uM,True
4n9a,1.90,2013,4.19,Ki=64uM,True
4q83,1.55,2015,4.19,Ki=64uM,True
1c5y,1.65,2000,4.20,Ki=63uM,True
1c87,2.10,2000,4.20,Ki=63uM,True
1ghw,1.75,2002,4.20,Ki=63uM,True
1n3z,1.65,2003,4.20,Ki=63.2uM,True
3djp,1.60,2009,4.20,Ki=63.2uM,True
3qx5,1.35,2012,4.20,Ki=63.5uM,True
5fcz,2.45,2016,4.20,Ki=63uM,True
5ofu,2.62,2017,4.20,Ki=63.8uM,True
2qmj,1.90,2008,4.21,Ki=62uM,True
4bqs,2.15,2013,4.21,Ki=62uM,True
4tw6,1.40,2014,4.21,Ki=61uM,True
4u6w,1.83,2015,4.21,Ki=61.3uM,True
5ti0,1.42,2017,4.21,Ki=61uM,True
6gg3,3.72,2019,4.21,Ki=62uM,True
1kv5,1.65,2002,4.22,Ki=60uM,True
1t5f,2.20,2005,4.22,Ki=60uM,True
1ua4,1.90,2004,4.22,Ki=0.06mM,True
4oak,2.00,2014,4.22,Ki=59.7uM,True
4own,2.11,2014,4.22,Ki=60uM,True
5tig,2.70,2018,4.22,Ki=60uM,True
2jke,1.70,2008,4.23,Ki=59uM,True
2jkp,1.99,2008,4.23,Ki=59uM,True
5kap,2.95,2016,4.23,Ki=58.6uM,True
2bes,2.10,2004,4.24,Ki=57uM,True
5e13,1.34,2015,4.24,Ki=57.8uM,True
5oh2,1.90,2018,4.24,Ki=57uM,True
4k75,1.50,2014,4.25,Ki=56.2uM,True
5j4n,2.59,2016,4.25,Ki=56uM,True
5om9,1.80,2017,4.25,Ki=56uM,True
6d1j,1.15,2019,4.25,Ki=56.2uM,True
6mdu,1.15,2019,4.25,Ki=56uM,True
2qrk,1.75,2007,4.26,Ki=55uM,True
3qwc,1.75,2012,4.26,Ki=55.4uM,True
3zmv,3.00,2013,4.26,Ki=55uM,True
4u69,1.60,2015,4.26,Ki=54.8uM,True
6hh5,1.95,2018,4.27,Ki=54.2uM,True
1ml1,2.60,1997,4.28,Ki=52uM,True
3f5j,1.95,2009,4.28,Ki=0.052mM,True
3gta,1.70,2010,4.28,Ki=53uM,True
3i4a,1.90,2009,4.28,Ki=52uM,True
4nq6,1.80,2014,4.28,Ki=53uM,True
4ufj,2.20,2015,4.28,Ki=52uM,True
4wcf,1.93,2015,4.28,Ki=53uM,True
6mlf,1.75,2019,4.28,Ki=53uM,True
1e2l,2.40,2000,4.29,Ki=51.5uM,True
1v2l,1.60,2004,4.29,Ki=51uM,True
1v2m,1.65,2004,4.29,Ki=51uM,True
6qwi,2.85,2019,4.29,Ki=51uM,True
1a30,2.00,1998,4.30,Ki=50uM,True
1amk,1.83,1997,4.30,Ki=50uM,True
1qm4,2.66,2000,4.30,Ki=50uM,True
1w3k,1.20,2004,4.30,Ki=50uM,True
2csm,2.80,1996,4.30,Ki=0.05mM,True
3moe,1.25,2010,4.30,Ki=50uM,True
3t0b,2.40,2012,4.30,Ki=0.05mM,True
3zmu,3.20,2013,4.30,Ki=49.6uM,True
4eoh,2.10,2012,4.30,Ki=50uM,True
4kij,2.80,2014,4.30,Ki=50uM,True
5mfr,1.40,2017,4.30,Ki=50000nM,True
1ajq,2.05,1997,4.31,Ki=0.049mM,True
2z3z,1.95,2008,4.31,Ki=48.8uM,True
4mi6,1.90,2014,4.31,Ki=48.68uM,True
2qtt,1.93,2008,4.32,Ki=48uM,True
4q7p,1.65,2015,4.32,Ki=48uM,True
3l7a,1.90,2010,4.33,Ki=46.42uM,True
1z6s,1.50,2005,4.34,Ki=46uM,True
1ghv,1.85,2002,4.35,Ki=45uM,True
1yfz,2.20,2005,4.35,Ki=45uM,True
4owv,1.90,2014,4.35,Ki=45uM,True
5vt4,3.21,2017,4.35,Ki=45uM,True
6d1a,1.25,2019,4.35,Ki=44.3uM,True
6r1a,1.54,2019,4.35,Ki=45uM,True
1dy4,1.90,2000,4.36,Ki=44uM,True
4dt2,2.70,2012,4.37,Ki=43uM,True
5oh7,1.85,2018,4.37,Ki=43uM,True
2y4a,2.70,2011,4.38,Ki=42uM,True
3snb,2.40,2011,4.38,Ki=41.24uM,True
3u9q,1.52,2011,4.38,Ki=41.7uM,True
1jh1,2.70,2001,4.39,Ki=41uM,True
2avq,1.30,2006,4.39,Ki=41uM,True
3djo,1.60,2009,4.39,Ki=40.8uM,True
3snc,2.58,2011,4.39,Ki=40.98uM,True
3tll,1.37,2012,4.39,Ki=40.83uM,True
1p57,1.75,2004,4.40,Ki=40uM,True
2pwd,1.80,2007,4.40,Ki=40uM,True
5uv2,2.20,2017,4.40,Ki=39.5uM,True
6cha,1.80,1987,4.40,Ki=40uM,True
6rsa,NMR,1986,4.40,Ki=40uM,True
7kme,2.10,1999,4.40,Ki=40uM,True
1no6,2.40,2003,4.41,Ki=39uM,True
2csn,2.50,1996,4.41,Ki=39uM,True
3uxd,1.80,2012,4.41,Ki=39.3uM,True
4exs,2.40,2012,4.41,Ki=39.0uM,True
4ou3,1.95,2014,4.41,Ki=38.7uM,True
5oh1,1.70,2018,4.41,Ki=39uM,True
2vr0,2.80,2008,4.42,Ki=38uM,True
3qvv,2.35,2011,4.42,Ki=38uM,True
4ek9,2.50,2012,4.42,Ki=38000nM,True
4q7s,1.80,2015,4.42,Ki=38uM,True
5xp7,2.01,2017,4.42,Ki=0.038mM,True
6jax,1.70,2019,4.42,Ki=38.43uM,True
2a3c,2.07,2005,4.43,Ki=37uM,True
2pu2,1.86,2008,4.43,Ki=37uM,True
4dsy,2.30,2012,4.43,Ki=37uM,True
4qf9,2.28,2015,4.43,Ki=37.1uM,True
4ykj,1.40,2015,4.43,Ki=37uM,True
4zw5,1.80,2016,4.43,Ki=37uM,True
5knt,2.55,2017,4.43,Ki=37uM,True
2q9y,2.85,2008,4.44,Ki=36uM,True
3u81,1.13,2012,4.44,Ki=36uM,True
6ppy,2.00,2019,4.44,Ki=36uM,True
2wbg,1.85,2009,4.45,Ki=35.2uM,True
1wvc,2.50,2005,4.46,Ki=35uM,True
3bmn,1.98,2008,4.46,Ki=35uM,True
3jq8,1.95,2009,4.46,Ki=35uM,True
3jqa,1.90,2009,4.46,Ki=35uM,True
3jqf,1.60,2009,4.46,Ki=35uM,True
4gki,1.88,2012,4.46,Ki=34.4uM,True
4i8n,2.50,2012,4.46,Ki=35uM,True
5dpx,1.85,2017,4.46,Ki=35uM,True
2r2w,2.01,2007,4.47,Ki=34uM,True
3hl5,1.80,2009,4.47,Ki=34uM,True
4cix,2.90,2014,4.47,Ki=34.0uM,True
4cu8,2.50,2014,4.47,Ki=33.9uM,True
4owo,1.99,2014,4.47,Ki=34uM,True
6d1d,1.40,2019,4.47,Ki=33.8uM,True
6d1g,1.15,2019,4.47,Ki=34.2uM,True
6f05,2.20,2018,4.47,Ki=34uM,True
1jaq,2.40,1996,4.48,Ki=33uM,True
1qan,2.40,2000,4.48,Ki=33uM,True
3p17,1.43,2011,4.48,Ki=33.4uM,True
3t01,1.60,2011,4.48,Ki=33uM,True
3vd7,2.87,2012,4.48,Ki=0.033mM,True
4bvb,2.00,2013,4.48,Ki=33.4uM,True
4dhl,2.30,2012,4.48,Ki=33uM,True
4eke,2.60,2012,4.48,Ki=33.4uM,True
5wxf,1.46,2018,4.48,Ki=33uM,True
6c5f,1.40,2018,4.48,Ki=33uM,True
6d15,1.30,2019,4.48,Ki=32.9uM,True
1hi4,1.80,2001,4.49,Ki=32uM,True
1j14,2.40,2002,4.49,Ki=32.2uM,True
2prj,2.30,1998,4.49,Ki=32uM,True
3hl8,1.55,2010,4.49,Ki=32uM,True
4ccd,1.97,2013,4.49,Ki=32uM,True
4cwf,2.00,2014,4.49,Ki=32.4uM,True
4el0,2.40,2012,4.49,Ki=32.4uM,True
5t19,2.10,2017,4.49,Ki=32uM,True
1d6n,2.70,1999,4.50,Ki=31.5uM,True
2eg8,2.20,2007,4.50,Ki=31.8uM,True
3sw8,1.70,2011,4.50,Ki=31.72uM,True
1gi7,1.79,2002,4.51,Ki=31uM,True
2yog,1.50,2013,4.51,Ki=31uM,True
3aas,1.75,2010,4.51,Ki=31uM,True
4g90,1.90,2012,4.51,Ki=30.8uM,True
4jxv,1.76,2014,4.51,Ki=31uM,True
1ctt,2.20,1995,4.52,Ki=30uM,True
1gu1,1.80,2002,4.52,Ki=30uM,True
1mrn,2.45,2003,4.52,Ki=30uM,True
1z4n,1.97,2005,4.52,Ki=30uM,True
1z4o,1.90,2005,4.52,Ki=30uM,True
2wm0,1.90,2010,4.52,Ki=30uM,True
6f3f,2.42,2017,4.52,Ki=30uM,True
3h30,1.56,2009,4.53,Ki=29.2uM,True
5tg7,2.28,2017,4.53,Ki=29.8uM,True
1lyx,1.90,2003,4.54,Ki=0.029mM,True
1lzo,2.80,2003,4.54,Ki=0.029mM,True
2v96,2.40,2007,4.54,Ki=29uM,True
2w5i,2.40,2009,4.54,Ki=29uM,True
2zz1,1.57,2009,4.54,Ki=29uM,True
2zz2,1.53,2009,4.54,Ki=29uM,True
3zn1,3.10,2013,4.54,Ki=29.1uM,True
6mi6,2.95,2018,4.54,Ki=29uM,True
6p5o,1.49,2019,4.54,Ki=28.6uM,True
2xag,3.10,2010,4.55,Ki=28uM,True
3djv,1.60,2009,4.55,Ki=27.9uM,True
3rr4,1.68,2012,4.55,Ki=28.05uM,True
3suv,1.60,2012,4.55,Ki=28uM,True
3zmt,3.10,2013,4.55,Ki=28.4uM,True
5oh4,2.30,2018,4.55,Ki=28uM,True
5tg6,1.78,2017,4.55,Ki=28.3uM,True
6edr,2.40,2018,4.55,Ki=28.5uM,True
6jio,2.60,2019,4.55,Ki=28uM,True
1i41,3.20,2001,4.57,Ki=27uM,True
1w2g,2.10,2005,4.57,Ki=27uM,True
3n8n,2.50,2011,4.57,Ki=27uM,True
3sym,2.40,2012,4.57,Ki=27.1uM,True
4ciy,2.10,2014,4.57,Ki=27.0uM,True
4fp1,1.68,2013,4.57,Ki=0.027mM,True
5j7q,2.05,2016,4.58,Ki=26.6uM,True
1bma,1.80,1995,4.59,Ki=26uM,True
1iew,2.55,2001,4.59,Ki=25.50uM,True
1l2s,1.94,2002,4.59,Ki=26uM,True
2ihj,2.00,2007,4.59,Ki=25.7uM,True
2jiw,1.95,2007,4.59,Ki=26uM,True
3hp9,1.60,2010,4.59,Ki=26uM,True
3wq6,1.80,2014,4.59,Ki=26uM,True
4g8y,1.80,2012,4.59,Ki=25.8uM,True
6mxb,2.19,2019,4.59,Ki=26uM,True
1f7b,1.80,2000,4.60,Ki=0.025mM,True
1pa9,2.00,2003,4.60,Ki=25uM,True
1tx7,1.75,2005,4.60,Ki=25uM,True
1u33,1.95,2004,4.60,Ki=25uM,True
1upf,2.30,1999,4.60,Ki=25uM,True
2hpa,2.90,1998,4.60,Ki=25uM,True
2q80,2.70,2007,4.60,Ki=25uM,True
2v54,2.40,2008,4.60,Ki=25uM,True
2wlz,1.82,2010,4.60,Ki=25uM,True
2x0y,2.25,2010,4.60,Ki=25uM,True
2yof,1.82,2013,4.60,Ki=25uM,True
3k0h,2.70,2010,4.60,Ki=25uM,True
3vhk,2.49,2012,4.60,Ki=25uM,True
4bc5,1.98,2012,4.60,Ki=25uM,True
4dfb,1.95,2012,4.60,Ki=25uM,True
4dfu,1.98,2012,4.60,Ki=25.1uM,True
4p58,2.06,2014,4.60,Ki=25uM,True
2bo4,1.95,2005,4.61,Ki=24.6uM,True
13gs,1.90,1999,4.62,Ki=24uM,True
1f4f,2.00,2000,4.62,Ki=24uM,True
1t5a,2.80,2005,4.62,Ki=24uM,True
2f6t,1.70,2005,4.62,Ki=24uM,True
2xm2,1.95,2011,4.62,Ki=24uM,True
3f5k,1.80,2009,4.62,Ki=0.024mM,True
4e35,1.40,2012,4.62,Ki=24uM,True
4os7,2.00,2014,4.62,Ki=24uM,True
4hzm,1.45,2013,4.63,Ki=23.2uM,True
4os5,2.26,2014,4.63,Ki=23.7uM,True
1c85,2.72,2000,4.64,Ki=23uM,True
2xaf,3.25,2010,4.64,Ki=23uM,True
2yhd,2.20,2011,4.64,Ki=23.0uM,True
2z3h,1.50,2007,4.64,Ki=23uM,True
5dhr,2.31,2016,4.64,Ki=23uM,True
6fcl,1.50,2018,4.64,Ki=23uM,True
3qtv,1.63,2012,4.65,Ki=22.5uM,True
4q93,2.10,2014,4.65,Ki=22.3uM,True
6b98,1.97,2017,4.65,Ki=22.4uM,True
6dd1,1.70,2019,4.65,Ki=22.3uM,True
1bzj,2.25,1999,4.66,Ki=22uM,True
1h4w,1.70,2002,4.66,Ki=22uM,True
1m1b,2.25,2002,4.66,Ki=22uM,True
3ddf,1.20,2008,4.66,Ki=22uM,True
3egk,2.20,2008,4.66,Ki=22uM,True
4yih,1.82,2015,4.66,Ki=21.7uM,True
4gkh,1.86,2012,4.67,Ki=21.5uM,True
5jsq,1.50,2016,4.67,Ki=21.3uM,True
1c5p,1.43,2000,4.68,Ki=21uM,True
1nyy,1.90,2003,4.68,Ki=21uM,True
1wn6,1.80,2005,4.68,Ki=21uM,True
2uy4,1.75,2007,4.68,Ki=21uM,True
3g35,1.41,2009,4.68,Ki=0.021mM,True
3rv6,2.04,2012,4.68,Ki=21uM,True
5k1d,1.94,2017,4.68,Ki=20.8uM,True
6fnt,1.90,2018,4.68,Ki=21uM,True
1c5n,1.50,2000,4.70,Ki=20uM,True
1c86,2.30,2000,4.70,Ki=20uM,True
1v41,2.85,2004,4.70,Ki=20uM,True
2c4w,1.55,2006,4.70,Ki=20uM,True
2dw7,2.50,2006,4.70,Ki=20uM,True
2fu8,1.80,2007,4.70,Ki=20uM,True
2i2c,1.85,2007,4.70,Ki=0.02mM,True
3suw,1.90,2012,4.70,Ki=20uM,True
6d3g,2.40,2019,4.70,Ki=20uM,True
6gch,2.10,1990,4.70,Ki=20uM,True
6n94,1.75,2019,4.70,Ki=19.8uM,True
6r13,1.65,2019,4.70,Ki=20uM,True
1v2t,1.90,2004,4.71,Ki=19.56uM,True
2qrh,1.83,2008,4.71,Ki=19.6uM,True
3fnm,1.70,2009,4.71,Ki=19.7uM,True
5gwz,2.44,2017,4.71,Ki=19.4uM,True
1vso,1.85,2007,4.72,Ki=18.98uM,True
2o1c,1.80,2007,4.72,Ki=19uM,True
3b9g,1.40,2008,4.72,Ki=19uM,True
3ebo,1.90,2009,4.72,Ki=19.01uM,True
3f6g,2.00,2009,4.72,Ki=19uM,True
3f6h,2.70,2009,4.72,Ki=19uM,True
3r6c,1.83,2012,4.72,Ki=19uM,True
4jxw,2.30,2014,4.72,Ki=19uM,True
4zw7,1.95,2016,4.72,Ki=19uM,True
1v2o,1.62,2004,4.73,Ki=18.45uM,True
1v2p,1.92,2004,4.73,Ki=18.45uM,True
4e5j,2.35,2012,4.73,Ki=18.7uM,True
1bty,1.50,1995,4.74,Ki=18.4uM,True
1ce5,1.90,1999,4.74,Ki=18.4uM,True
1qaq,2.80,2000,4.74,Ki=18uM,True
1w4p,1.69,2005,4.74,Ki=18uM,True
2e2p,2.00,2007,4.74,Ki=18uM,True
2wyi,2.60,2010,4.74,Ki=18uM,True
3g3d,1.70,2009,4.74,Ki=18.2uM,True
3gxt,2.70,2009,4.74,Ki=18uM,True
3jqg,1.90,2009,4.74,Ki=18uM,True
3qs8,2.00,2012,4.74,Ki=18uM,True
3zmz,3.00,2013,4.74,Ki=18uM,True
4jfi,1.05,2013,4.74,Ki=18.1uM,True
4jxs,1.90,2014,4.74,Ki=18uM,True
4kyk,2.00,2013,4.74,Ki=18uM,True
6szp,1.76,2019,4.74,Ki=18uM,True
3g2j,2.14,2010,4.75,Ki=17.9uM,True
4mnx,1.85,2014,4.75,Ki=17.73uM,True
3acw,1.63,2010,4.76,Ki=17.5uM,True
3o5n,1.83,2011,4.76,Ki=17.2uM,True
4uub,2.90,2014,4.76,Ki=17.2uM,True
2afw,1.56,2005,4.77,Ki=17uM,True
2dua,2.00,2006,4.77,Ki=17uM,True
2f0z,2.80,2006,4.77,Ki=0.017mM,True
3abt,3.20,2010,4.77,Ki=17uM,True
3d50,1.79,2008,4.77,Ki=17uM,True
3mkf,1.33,2010,4.77,Ki=17uM,True
3t3i,2.65,2012,4.77,Ki=17.00uM,True
5mkr,1.87,2017,4.77,Ki=17uM,True
5mks,1.99,2017,4.77,Ki=17uM,True
5nxx,2.20,2018,4.77,Ki=17uM,True
5obj,2.90,2017,4.78,Ki=16.5uM,True
1eed,2.00,1994,4.79,Ki=16.2uM,True
1oss,1.93,2003,4.79,Ki=16.4uM,True
3eb1,2.40,2009,4.79,Ki=16.3uM,True
3g2k,2.00,2010,4.79,Ki=16.1uM,True
4k78,1.80,2014,4.79,Ki=16.2uM,True
5k1f,1.94,2017,4.79,Ki=16.2uM,True
1bju,1.80,1998,4.80,Ki=16uM,True
1ghz,1.39,2002,4.80,Ki=16uM,True
1ybg,2.60,2005,4.80,Ki=16uM,True
2nta,2.10,2007,4.80,Ki=16uM,True
3dnd,2.26,2009,4.80,Ki=16uM,True
4dkt,2.98,2012,4.80,Ki=16uM,True
4llp,1.75,2014,4.80,Ki=16uM,True
5k51,2.96,2016,4.80,Ki=15.8uM,True
1b4d,2.00,1998,4.81,Ki=15.6uM,True
1aid,2.20,1997,4.82,Ki=15uM,True
1dud,2.30,1996,4.82,Ki=15uM,True
1f8e,1.40,2001,4.82,Ki=15uM,True
1v1j,2.20,2005,4.82,Ki=15uM,True
1xff,1.80,2004,4.82,Ki=15uM,True
1ya4,3.20,2005,4.82,Ki=15.2uM,True
2jal,1.90,2007,4.82,Ki=15uM,True
2pwg,2.20,2007,4.82,Ki=15uM,True
2ypi,2.50,1991,4.82,Ki=15uM,True
3r88,1.73,2012,4.82,Ki=15uM,True
3vd4,2.00,2012,4.82,Ki=0.015mM,True
4ciw,2.20,2014,4.82,Ki=15.0uM,True
4ih3,2.49,2014,4.82,Ki=15.2uM,True
4kwf,2.31,2014,4.82,Ki=15uM,True
5ayf,2.01,2016,4.82,Ki=15uM,True
5ewa,2.30,2016,4.82,Ki=15uM,True
6d17,1.45,2019,4.82,Ki=15.3uM,True
6q35,1.40,2019,4.82,Ki=15uM,True
3cf9,2.60,2008,4.83,Ki=14.9uM,True
4k6y,1.48,2014,4.83,Ki=14.8uM,True
5vjp,1.98,2017,4.83,Ki=14.9uM,True
1nhw,2.35,2003,4.84,Ki=14.3uM,True
6gf3,2.40,2019,4.84,Ki=14.3uM,True
1c83,1.80,2000,4.85,Ki=14uM,True
1ecv,1.95,2000,4.85,Ki=14uM,True
1n51,2.30,2003,4.85,Ki=14uM,True
1o2p,1.47,2003,4.85,Ki=14uM,True
1qji,2.14,2000,4.85,Ki=14uM,True
1xgi,1.96,2005,4.85,Ki=14uM,True
2p8o,1.50,2007,4.85,Ki=14uM,True
2qwd,2.00,1998,4.85,Ki=14uM,True
2r9x,1.90,2008,4.85,Ki=14uM,True
2ww2,1.90,2009,4.85,Ki=14uM,True
3ik1,2.25,2010,4.85,Ki=14uM,True
3k05,1.33,2010,4.85,Ki=14uM,True
3ohi,2.30,2011,4.85,Ki=14uM,True
3rv7,2.50,2012,4.85,Ki=14uM,True
4iic,1.90,2013,4.85,Ki=14uM,True
4q87,1.55,2015,4.85,Ki=14uM,True
5abf,2.10,2015,4.85,Ki=14uM,True
6gpb,2.86,1992,4.85,Ki=14uM,True
6ox0,1.76,2019,4.85,Ki=14uM,True
2brb,2.10,2005,4.86,Ki=13.7uM,True
3g2i,2.00,2010,4.86,Ki=13.7uM,True
3hfv,2.60,2009,4.87,Ki=13.6uM,True
3kjf,2.00,2010,4.87,Ki=13.4uM,True
4os4,2.00,2014,4.87,Ki=13.6uM,True
5knv,2.86,2017,4.87,Ki=13.4uM,True
6apu,1.84,2018,4.87,Ki=13.46uM,True
2clx,1.80,2006,4.88,Ki=13.3uM,True
1ilq,NMR,1998,4.89,Ki=13uM,True
1z6f,1.60,2005,4.89,Ki=13uM,True
2aoc,1.30,2006,4.89,Ki=13.0uM,True
2vo5,2.30,2008,4.89,Ki=13uM,True
3d4z,1.39,2008,4.89,Ki=13uM,True
3hfz,2.90,2009,4.89,Ki=13uM,True
4cd1,2.00,2014,4.89,Ki=12.8uM,True
5j7w,2.50,2016,4.89,Ki=13uM,True
5m4u,2.20,2017,4.89,Ki=13uM,True
6i5g,2.00,2019,4.89,Ki=13.03uM,True
3cf8,2.40,2008,4.90,Ki=12.7uM,True
5npr,1.85,2018,4.90,Ki=12.5uM,True
1km3,1.50,2002,4.91,Ki=12.4uM,True
3ibc,2.75,2009,4.91,Ki=12.4uM,True
3t3d,2.50,2012,4.91,Ki=12.39uM,True
5l8a,1.57,2017,4.91,Ki=12.3uM,True
1bzc,2.35,1999,4.92,Ki=12uM,True
1e1v,1.95,2001,4.92,Ki=12uM,True
1h1p,2.10,2002,4.92,Ki=12uM,True
1h4n,2.00,1997,4.92,Ki=12uM,True
1jqy,2.14,2002,4.92,Ki=12uM,True
3eax,1.90,2009,4.92,Ki=12uM,True
3i6c,1.30,2010,4.92,Ki=12uM,True
3k15,2.80,2010,4.92,Ki=12uM,True
3rv8,2.29,2012,4.92,Ki=12uM,True
3rv9,2.14,2012,4.92,Ki=12uM,True
3vdc,2.55,2012,4.92,Ki=0.012mM,True
4j47,1.35,2013,4.92,Ki=12.02uM,True
5evk,1.63,2016,4.92,Ki=12uM,True
6hp0,1.88,2019,4.92,Ki=12uM,True
6r11,1.75,2019,4.92,Ki=12uM,True
6r18,1.35,2019,4.92,Ki=12uM,True
6r1c,1.50,2019,4.92,Ki=12uM,True
3uxk,2.20,2012,4.93,Ki=11.7uM,True
1e2k,1.70,2000,4.94,Ki=11.4uM,True
2gss,1.90,1997,4.94,Ki=11.5uM,True
4mnv,1.80,2014,4.94,Ki=11.56uM,True
1jn4,1.80,2003,4.95,Ki=11.3uM,True
2x95,1.96,2010,4.95,Ki=11.3uM,True
3mxr,1.30,2010,4.95,Ki=11.3uM,True
4cft,1.79,2014,4.95,Ki=11.16uM,True
4civ,2.90,2014,4.95,Ki=11.2uM,True
5gwy,2.85,2017,4.95,Ki=11.3uM,True
1gj5,1.73,2002,4.96,Ki=11uM,True
1o5g,1.75,2004,4.96,Ki=11uM,True
1pwq,3.52,2004,4.96,Ki=11uM,True
1t3t,1.90,2004,4.96,Ki=11uM,True
